,Replicate,Experiment,Glycoform,Distribution
0,0,1,HM,11.183006143290699
1,0,1,FA1G1,1.0600321672668527
2,0,1,FA2G0,64.36177904656012
3,0,1,FA2G1,18.893179581373275
4,0,1,FA2G2,0.392059626405607
5,0,1,SIA,0.02654344336300757
6,0,2,HM,0.41196565833961624
7,0,2,FA1G1,0.01486358641476959
8,0,2,FA2G0,40.4676230884723
9,0,2,FA2G1,53.92558848214303
10,0,2,FA2G2,4.232373118722027
11,0,2,SIA,0.7986519257876292
12,0,3,HM,0.588728040622047
13,0,3,FA1G1,0.0221340023601507
14,0,3,FA2G0,41.87837179038325
15,0,3,FA2G1,52.75826822016996
16,0,3,FA2G2,3.9211891889669266
17,0,3,SIA,0.6518975147545286
18,0,4,HM,0.651725591046011
19,0,4,FA1G1,0.03325361566349168
20,0,4,FA2G0,43.871995277223306
21,0,4,FA2G1,51.03829899587878
22,0,4,FA2G2,3.5868344848084064
23,0,4,SIA,0.6014837846042317
24,1,1,HM,5.621861157312296
25,1,1,FA1G1,0.4964707406291234
26,1,1,FA2G0,64.85184024905402
27,1,1,FA2G1,26.635815350567327
28,1,1,FA2G2,0.7343518861203451
29,1,1,SIA,0.05822472687436277
30,1,2,HM,0.5037751150708233
31,1,2,FA1G1,0.011360348266790577
32,1,2,FA2G0,40.37961053383769
33,1,2,FA2G1,53.81151740982536
34,1,2,FA2G2,4.281032988492896
35,1,2,SIA,0.8627179650582345
36,1,3,HM,0.5456161643890605
37,1,3,FA1G1,0.0184018992344488
38,1,3,FA2G0,41.51084771972736
39,1,3,FA2G1,52.99084490165937
40,1,3,FA2G2,4.00532304510158
41,1,3,SIA,0.7271460354312635
42,1,4,HM,0.37500449856786683
43,1,4,FA1G1,0.012706814813051933
44,1,4,FA2G0,39.31728513321634
45,1,4,FA2G1,54.709121231756505
46,1,4,FA2G2,4.466869894036816
47,1,4,SIA,0.9263921934738186
48,2,1,HM,9.052211922369079
49,2,1,FA1G1,0.7182959776931028
50,2,1,FA2G0,65.99377683840491
51,2,1,FA2G1,21.201413094254825
52,2,1,FA2G2,0.47306137593975994
53,2,1,SIA,0.04099540313421255
54,2,2,HM,0.8083575497520831
55,2,2,FA1G1,0.03169789297193173
56,2,2,FA2G0,45.72392805752425
57,2,2,FA2G1,49.459752527565364
58,2,2,FA2G2,3.245179812898433
59,2,2,SIA,0.5342363344172432
60,2,3,HM,0.4573978222398891
61,2,3,FA1G1,0.01449434705567113
62,2,3,FA2G0,40.220170814605275
63,2,3,FA2G1,54.24905179204984
64,2,3,FA2G2,4.252709406783875
65,2,3,SIA,0.6565933753171875
66,2,4,HM,0.4644233306042063
67,2,4,FA1G1,0.015076648009046087
68,2,4,FA2G0,40.39755866453894
69,2,4,FA2G1,53.996973314172834
70,2,4,FA2G2,4.2048881362032375
71,2,4,SIA,0.7655400325803658
72,3,1,HM,12.257156652321838
73,3,1,FA1G1,0.8900181586791176
74,3,1,FA2G0,65.65174475795331
75,3,1,FA2G1,17.019951808216682
76,3,1,FA2G2,0.31316555430705445
77,3,1,SIA,0.02497790171011765
78,3,2,HM,0.6169780292226097
79,3,2,FA1G1,0.020846956228347438
80,3,2,FA2G0,40.814381500030336
81,3,2,FA2G1,53.438699938920045
82,3,2,FA2G2,4.100668453429019
83,3,2,SIA,0.8188288339269403
84,3,3,HM,0.7402648938989587
85,3,3,FA1G1,0.02302354330124359
86,3,3,FA2G0,42.740814309728194
87,3,3,FA2G1,51.74475706582421
88,3,3,FA2G2,3.8250498158297312
89,3,3,SIA,0.6922560255762273
90,3,4,HM,0.702729323760511
91,3,4,FA1G1,0.015570113901530172
92,3,4,FA2G0,42.15060864341543
93,3,4,FA2G1,52.35757664107316
94,3,4,FA2G2,3.895673800832661
95,3,4,SIA,0.6847856450821914
96,4,1,HM,10.975611235077363
97,4,1,FA1G1,0.7372496291914826
98,4,1,FA2G0,65.13755107037893
99,4,1,FA2G1,19.80773079836681
100,4,1,FA2G2,0.42477474867574466
101,4,1,SIA,0.03392006896662214
102,4,2,HM,0.814206919354767
103,4,2,FA1G1,0.019730067538959232
104,4,2,FA2G0,42.58745554236826
105,4,2,FA2G1,51.91689259881803
106,4,2,FA2G2,3.828230449063962
107,4,2,SIA,0.6512706020080559
108,4,3,HM,0.7232210727219106
109,4,3,FA1G1,0.023367125329216608
110,4,3,FA2G0,41.69993712423577
111,4,3,FA2G1,52.741989521101374
112,4,3,FA2G2,4.009714182555116
113,4,3,SIA,0.6225980773622993
114,4,4,HM,0.555120127233327
115,4,4,FA1G1,0.023406971655345596
116,4,4,FA2G0,41.69701078462407
117,4,4,FA2G1,52.887438083690384
118,4,4,FA2G2,3.9795730327065506
119,4,4,SIA,0.6763746019847006
