,Replicate,Experiment,Glycoform,Distribution
0,0,1,HM,4.851626869777193
1,0,1,FA1G1,0.42279299807707
2,0,1,FA2G0,64.96647957001167
3,0,1,FA2G1,27.534861592363104
4,0,1,FA2G2,0.8110406561620683
5,0,1,SIA,0.07139093457134842
6,0,2,HM,0.4876515736912635
7,0,2,FA1G1,0.015382845648678716
8,0,2,FA2G0,41.09494527238321
9,0,2,FA2G1,53.34370097068708
10,0,2,FA2G2,4.067292086464529
11,0,2,SIA,0.8209586840061092
12,0,3,HM,1.8443144880778644
13,0,3,FA1G1,0.13035174702831842
14,0,3,FA2G0,55.61773258449145
15,0,3,FA2G1,39.78532396872038
16,0,3,FA2G2,1.8528714505829071
17,0,3,SIA,0.2688958188231799
18,0,4,HM,1.1489528544655145
19,0,4,FA1G1,0.0684643081831891
20,0,4,FA2G0,51.374548283720955
21,0,4,FA2G1,44.32378444931161
22,0,4,FA2G2,2.4320533374534046
23,0,4,SIA,0.31980510011392443
24,0,5,HM,0.8801987282992502
25,0,5,FA1G1,0.026229027753584884
26,0,5,FA2G0,48.155652665361956
27,0,5,FA2G1,47.33673540093749
28,0,5,FA2G2,2.9282026616302974
29,0,5,SIA,0.44978947229070726
30,0,6,HM,0.7516762616092174
31,0,6,FA1G1,0.03485964239025321
32,0,6,FA2G0,47.24731375848188
33,0,6,FA2G1,48.21557597591086
34,0,6,FA2G2,3.031906294115547
35,0,6,SIA,0.5146109647173415
36,0,7,HM,0.9786112697549966
37,0,7,FA1G1,0.04520525612803429
38,0,7,FA2G0,49.51357429535905
39,0,7,FA2G1,46.12046603047488
40,0,7,FA2G2,2.6936854306992832
41,0,7,SIA,0.42222549281322047
42,0,8,HM,2.070242943205925
43,0,8,FA1G1,0.10084427983393039
44,0,8,FA2G0,54.500604328504295
45,0,8,FA2G1,40.78422998585341
46,0,8,FA2G2,1.933730478875849
47,0,8,SIA,0.2581622573173329
48,0,9,HM,0.9470886442315893
49,0,9,FA1G1,0.029544127859336182
50,0,9,FA2G0,48.210253082258376
51,0,9,FA2G1,47.273266109753195
52,0,9,FA2G2,2.9084793614765494
53,0,9,SIA,0.4123011167581406
54,1,1,HM,9.259089637057858
55,1,1,FA1G1,0.6524324801788068
56,1,1,FA2G0,65.92337201970469
57,1,1,FA2G1,21.16160044319159
58,1,1,FA2G2,0.47385586841379584
59,1,1,SIA,0.03517074432908991
60,1,2,HM,0.5080853165445441
61,1,2,FA1G1,0.017466312660210967
62,1,2,FA2G0,40.325203086057144
63,1,2,FA2G1,53.88895341033027
64,1,2,FA2G2,4.30447359749392
65,1,2,SIA,0.7621914284012626
66,1,3,HM,1.905218651384713
67,1,3,FA1G1,0.07709536227369485
68,1,3,FA2G0,51.64255306559388
69,1,3,FA2G1,43.412387081705
70,1,3,FA2G2,2.259708924461715
71,1,3,SIA,0.35037051219747367
72,1,4,HM,1.43819394112923
73,1,4,FA1G1,0.08884272375997859
74,1,4,FA2G0,51.41422740390643
75,1,4,FA2G1,43.952087345677086
76,1,4,FA2G2,2.407863772392063
77,1,4,SIA,0.35451394246375223
78,1,5,HM,1.3393046048401882
79,1,5,FA1G1,0.09594645126901408
80,1,5,FA2G0,51.77285048574988
81,1,5,FA2G1,43.69360470579789
82,1,5,FA2G2,2.389369737554583
83,1,5,SIA,0.29204102387635184
84,1,6,HM,1.1376536087541163
85,1,6,FA1G1,0.03455333606404891
86,1,6,FA2G0,48.32256240776042
87,1,6,FA2G1,46.94482626825307
88,1,6,FA2G2,2.8700477355928187
89,1,6,SIA,0.4242425307292815
90,1,7,HM,0.7722502435129048
91,1,7,FA1G1,0.02749515680544521
92,1,7,FA2G0,45.16118765082578
93,1,7,FA2G1,50.019889739800384
94,1,7,FA2G2,3.3518356817869854
95,1,7,SIA,0.5277871855092032
96,1,8,HM,1.2690508783217787
97,1,8,FA1G1,0.047172597844785384
98,1,8,FA2G0,50.03827366201076
99,1,8,FA2G1,45.30611445892028
100,1,8,FA2G2,2.6343086137736975
101,1,8,SIA,0.44595676901084635
102,1,9,HM,1.5257792363337053
103,1,9,FA1G1,0.09836721487009607
104,1,9,FA2G0,54.666253115507814
105,1,9,FA2G1,41.020773592895004
106,1,9,FA2G2,2.003128955828696
107,1,9,SIA,0.309428297992971
108,2,1,HM,10.767349998245843
109,2,1,FA1G1,0.6775229484726858
110,2,1,FA2G0,65.61085432967998
111,2,1,FA2G1,19.8815546458221
112,2,1,FA2G2,0.41954940584712835
113,2,1,SIA,0.03381063612052298
114,2,2,HM,0.5353055212443741
115,2,2,FA1G1,0.016079685283353795
116,2,2,FA2G0,39.985705303500026
117,2,2,FA2G1,54.194193936766744
118,2,2,FA2G2,4.286501570503281
119,2,2,SIA,0.756456310911813
120,2,3,HM,1.394996804948864
121,2,3,FA1G1,0.06969317354958729
122,2,3,FA2G0,50.49851308022374
123,2,3,FA2G1,44.81320386346322
124,2,3,FA2G2,2.494809962285721
125,2,3,SIA,0.38729699961372877
126,2,4,HM,1.5642497431767963
127,2,4,FA1G1,0.059865153809111525
128,2,4,FA2G0,49.401720210393876
129,2,4,FA2G1,45.67648056321986
130,2,4,FA2G2,2.6494340467076225
131,2,4,SIA,0.35091430670803864
132,2,5,HM,1.450409308000918
133,2,5,FA1G1,0.059295386956526835
134,2,5,FA2G0,48.70686914826932
135,2,5,FA2G1,46.36634903597559
136,2,5,FA2G2,2.727436149719513
137,2,5,SIA,0.39413358687234
138,2,6,HM,1.7223560511507838
139,2,6,FA1G1,0.06605466437794168
140,2,6,FA2G0,54.04277915269054
141,2,6,FA2G1,41.51861028917245
142,2,6,FA2G2,2.0471659239113085
143,2,6,SIA,0.25350488532583504
144,2,7,HM,2.125652161658233
145,2,7,FA1G1,0.07503581472637308
146,2,7,FA2G0,52.79600881579549
147,2,7,FA2G1,42.14404625038116
148,2,7,FA2G2,2.148729928491794
149,2,7,SIA,0.34613400665174426
150,2,8,HM,1.2970111250373768
151,2,8,FA1G1,0.06727525585464202
152,2,8,FA2G0,51.52663478198865
153,2,8,FA2G1,44.041386963364076
154,2,8,FA2G2,2.3518992692078378
155,2,8,SIA,0.36189323686761116
156,2,9,HM,1.2428993946573583
157,2,9,FA1G1,0.05711092302880471
158,2,9,FA2G0,50.83953652113959
159,2,9,FA2G1,44.72235470657768
160,2,9,FA2G2,2.5054545496007097
161,2,9,SIA,0.38714044670164377
162,3,1,HM,12.079120044451907
163,3,1,FA1G1,0.787497498134446
164,3,1,FA2G0,65.06122946534279
165,3,1,FA2G1,18.425093818694624
166,3,1,FA2G2,0.3647970842491495
167,3,1,SIA,0.030702336581466087
168,3,2,HM,0.582902844563703
169,3,2,FA1G1,0.015352712596928829
170,3,2,FA2G0,41.96300457467887
171,3,2,FA2G1,52.4650799159955
172,3,2,FA2G2,3.9737317803390133
173,3,2,SIA,0.8250359111396443
174,3,3,HM,1.0270314531944182
175,3,3,FA1G1,0.050050286111529216
176,3,3,FA2G0,49.09272469803682
177,3,3,FA2G1,46.47793084213595
178,3,3,FA2G2,2.7131559693105434
179,3,3,SIA,0.3740331972389374
180,3,4,HM,1.2217677702847232
181,3,4,FA1G1,0.05480509639701107
182,3,4,FA2G0,48.45128001770749
183,3,4,FA2G1,46.81812327221586
184,3,4,FA2G2,2.827202863807737
185,3,4,SIA,0.3605865742524334
186,3,5,HM,1.7843266959046669
187,3,5,FA1G1,0.09690146737815257
188,3,5,FA2G0,53.71039549237522
189,3,5,FA2G1,41.688832509810396
190,3,5,FA2G2,2.0829457481804554
191,3,5,SIA,0.29952010588035904
192,3,6,HM,0.7127928836731392
193,3,6,FA1G1,0.029334427513870085
194,3,6,FA2G0,45.74132445380261
195,3,6,FA2G1,49.58314849648003
196,3,6,FA2G2,3.2548955661758043
197,3,6,SIA,0.4647984312410175
198,3,7,HM,1.3892956570813104
199,3,7,FA1G1,0.056379601389887984
200,3,7,FA2G0,50.382648956542454
201,3,7,FA2G1,45.008705388653524
202,3,7,FA2G2,2.5703223211131365
203,3,7,SIA,0.32826981368736147
204,3,8,HM,0.6990116258205544
205,3,8,FA1G1,0.031162293680713122
206,3,8,FA2G0,45.40977599505087
207,3,8,FA2G1,49.73539706980406
208,3,8,FA2G2,3.38175034365463
209,3,8,SIA,0.5621873232427893
210,3,9,HM,1.1369384899816977
211,3,9,FA1G1,0.061349547948299804
212,3,9,FA2G0,51.24028239882832
213,3,9,FA2G1,44.51367565600511
214,3,9,FA2G2,2.427028741737704
215,3,9,SIA,0.389078548899417
216,4,1,HM,17.67267982270713
217,4,1,FA1G1,1.1048446791883024
218,4,1,FA2G0,62.32862255523186
219,4,1,FA2G1,12.703026700246777
220,4,1,FA2G2,0.1849027820512592
221,4,1,SIA,0.009315814876883073
222,4,2,HM,0.7300553806779562
223,4,2,FA1G1,0.018400834262836792
224,4,2,FA2G0,41.39384819295774
225,4,2,FA2G1,52.907569868639555
226,4,2,FA2G2,4.0156210368166025
227,4,2,SIA,0.7569222692916475
228,4,3,HM,1.4417010369444416
229,4,3,FA1G1,0.07085830711464872
230,4,3,FA2G0,51.49538094142873
231,4,3,FA2G1,44.03353675933563
232,4,3,FA2G2,2.339064258532693
233,4,3,SIA,0.3292184834646537
234,4,4,HM,1.077827862836521
235,4,4,FA1G1,0.0638980521081107
236,4,4,FA2G0,49.96323230062989
237,4,4,FA2G1,45.57744735295265
238,4,4,FA2G2,2.6610616029372043
239,4,4,SIA,0.36236930078904805
240,4,5,HM,0.8588278720274822
241,4,5,FA1G1,0.029412989993410733
242,4,5,FA2G0,45.3553133816088
243,4,5,FA2G1,49.77531206493928
244,4,5,FA2G2,3.3357145139814177
245,4,5,SIA,0.47045533570787346
246,4,6,HM,1.1971091805153204
247,4,6,FA1G1,0.04267351060863533
248,4,6,FA2G0,48.28036543155446
249,4,6,FA2G1,46.93419558709603
250,4,6,FA2G2,2.8145434744473525
251,4,6,SIA,0.49627356175979026
252,4,7,HM,1.5079669189572178
253,4,7,FA1G1,0.09492747972497277
254,4,7,FA2G0,54.39080705050281
255,4,7,FA2G1,41.42273469525988
256,4,7,FA2G2,2.045325473054882
257,4,7,SIA,0.23633917833624407
258,4,8,HM,0.8250796058578049
259,4,8,FA1G1,0.037557976433196964
260,4,8,FA2G0,48.787207679116726
261,4,8,FA2G1,46.91438677769752
262,4,8,FA2G2,2.8325158800399217
263,4,8,SIA,0.40655144434122487
264,4,9,HM,0.8551797629316373
265,4,9,FA1G1,0.0336962798838318
266,4,9,FA2G0,47.46039652538788
267,4,9,FA2G1,47.961290782742395
268,4,9,FA2G2,3.000249365493309
269,4,9,SIA,0.48747552802178956
